date,killed_in_lebanon,palestine_children_tfp,palestine_adults_tfp,israel_children,israel_adults,palestine_total,palestine_children_adj,palestine_contested,palestine_adults_adj
2024-02-04,239,12000,15365,24,1468,27365,8481.843262287444,3518.1567377125557,15364.999999999998
2024-02-05,243,12000,15478,24,1468,27478,8516.867866293967,3483.1321337060326,15478
2024-02-06,243,12000,15585,24,1469,27585,8550.032756813416,3449.967243186584,15585
2024-02-07,246,12000,15708,24,1470,27708,8588.156883298392,3411.843116701608,15708.000000000002
2024-02-08,247,12150,15690,24,1470,27840,8629.070580013977,3520.9294199860233,15690
2024-02-09,249,12150,15797,24,1470,27947,8662.235470533426,3487.7645294665745,15797
2024-02-10,254,12150,15914,24,1470,28064,8698.499883531329,3451.500116468671,15913.999999999998
2024-02-11,256,12300,15876,24,1470,28176,8733.214535290006,3566.785464709994,15876.000000000002
2024-02-12,266,12300,16040,24,1472,28340,8784.046703936641,3515.9532960633587,16040
2024-02-13,268,12300,16173,24,1475,28473,8825.27035290007,3474.72964709993,16172.999999999998
2024-02-14,286,12300,16276,24,1475,28576,8857.195434428138,3442.8045655718615,16275.999999999998
2024-02-15,293,12300,16363,24,1475,28663,8884.161279990682,3415.8387200093184,16363.000000000002
2024-02-16,299,12660,16115,24,1477,28775,8918.875931749359,3741.1240682506414,16114.999999999998
2024-02-17,299,12660,16198,24,1477,28858,8944.601968320521,3715.3980316794787,16197.999999999998
2024-02-18,299,12660,16325,24,1477,28985,8983.965903796878,3676.0340962031223,16325
2024-02-19,299,12660,16432,24,1478,29092,9017.130794316328,3642.8692056836717,16432
2024-02-20,299,12660,16535,24,1479,29195,9049.055875844397,3610.9441241556033,16535
2024-02-21,301,12660,16653,24,1480,29313,9085.630241090146,3574.3697589098538,16653
2024-02-22,307,12660,16750,24,1480,29410,9115.695609131144,3544.304390868856,16750
2024-02-23,309,13000,16514,24,1480,29514,9147.930642907058,3852.0693570929416,16514
2024-02-24,309,13000,16606,24,1480,29606,9176.446249708828,3823.553750291172,16606
2024-02-25,309,13000,16692,24,1480,29692,9203.102143023527,3796.897856976473,16692
2024-02-26,318,13000,16782,24,1483,29782,9230.997845329606,3769.002154670394,16782
2024-02-27,318,13000,16878,24,1483,29878,9260.753261122758,3739.246738877242,16878
2024-02-28,320,13000,16954,24,1485,29954,9284.309631959002,3715.690368040998,16954
2024-02-29,323,13230,16805,24,1485,30035,9309.415764034475,3920.5842359655253,16805
2024-03-01,328,13230,16998,24,1485,30228,9369.236547868622,3860.7634521313776,16998
2024-03-02,334,13230,17090,24,1485,30320,9397.752154670394,3832.247845329606,17090
2024-03-03,334,13230,17180,24,1485,30410,9425.647856976473,3804.352143023527,17180
2024-03-04,338,13430,17104,24,1489,30534,9464.081935709293,3965.9180642907068,17104
2024-03-05,342,13430,17201,24,1489,30631,9494.147303750291,3935.852696249709,17201
2024-03-06,344,13430,17287,24,1489,30717,9520.80319706499,3909.19680293501,17287
2024-03-07,345,13430,17370,24,1490,30800,9546.52923363615,3883.470766363849,17370
2024-03-08,348,13430,17448,24,1495,30878,9570.705508968087,3859.294491031913,17448
2024-03-09,353,13500,17460,24,1495,30960,9596.121593291404,3903.8784067085962,17460
2024-03-10,362,13500,17545,24,1495,31045,9622.467534358257,3877.5324656417433,17545
2024-03-11,364,13500,17612,24,1495,31112,9643.234334963894,3856.765665036106,17612
2024-03-12,366,13500,17684,24,1495,31184,9665.550896808758,3834.449103191242,17684
2024-03-13,367,13500,17772,24,1495,31272,9692.826694619147,3807.173305380853,17772
2024-03-14,367,13790,17551,24,1495,31341,9714.213399720475,4075.7866002795254,17551
2024-03-15,367,13790,17700,24,1495,31490,9760.396284649429,4029.6037153505713,17700
2024-03-16,367,13790,17763,24,1495,31553,9779.923276263686,4010.0767237363143,17763
2024-03-17,367,13790,17855,24,1495,31645,9808.438883065455,3981.5611169345448,17855
2024-03-18,367,13790,17936,24,1495,31726,9833.545015140928,3956.4549848590723,17936
2024-03-19,367,14000,17819,24,1495,31819,9862.370574190543,4137.629425809457,17819
2024-03-20,368,14000,17923,24,1495,31923,9894.605607966456,4105.394392033544,17923
2024-03-21,368,14000,17988,24,1495,31988,9914.752504076403,4085.247495923597,17988
2024-03-22,368,14000,18070,24,1495,32070,9940.16858839972,4059.8314116002803,18070
2024-03-23,369,14000,18142,24,1495,32142,9962.485150244584,4037.5148497554164,18142
2024-03-24,372,14280,17946,24,1495,32226,9988.521139063592,4291.478860936408,17946
2024-03-25,374,14280,18053,24,1496,32333,10021.686029583041,4258.313970416959,18053
2024-03-26,383,14280,18134,24,1496,32414,10046.792161658514,4233.207838341486,18134
2024-03-27,400,14280,18210,24,1496,32490,10070.348532494758,4209.651467505242,18210
2024-03-28,400,14280,18272,24,1496,32552,10089.565571861169,4190.434428138831,18272
2024-03-29,407,14350,18273,24,1497,32623,10111.572181458187,4238.427818541813,18273
2024-03-30,407,14350,18355,24,1497,32705,10136.988265781505,4213.011734218495,18355
2024-03-31,408,14350,18432,24,1497,32782,10160.854588865595,4189.145411134405,18432
2024-04-01,408,14350,18495,24,1497,32845,10180.38158047985,4169.6184195201495,18495
2024-04-02,408,14350,18566,24,1497,32916,10202.388190076868,4147.611809923132,18566
2024-04-03,410,14500,18475,24,1500,32975,10220.675372699743,4279.324627300257,18475
2024-04-04,410,14500,18537,24,1500,33037,10239.892412066154,4260.107587933846,18537
2024-04-05,417,14500,18591,24,1500,33091,10256.629833449802,4243.370166550198,18591
2024-04-06,418,14500,18637,24,1500,33137,10270.887636850686,4229.112363149314,18637
2024-04-07,419,14500,18675,24,1500,33175,10282.66582226881,4217.334177731191,18675
2024-04-08,422,14520,18687,24,1504,33207,10292.58429419986,4227.41570580014,18687
2024-04-09,422,14520,18840,24,1504,33360,10340.006988120196,4179.993011879804,18840
2024-04-10,423,14520,18962,24,1504,33482,10377.821162357326,4142.178837642674,18962
2024-04-11,423,14520,19025,24,1504,33545,10397.348153971581,4122.651846028419,19025
2024-04-12,423,14520,19114,24,1504,33634,10424.933904029816,4095.0660959701836,19114
2024-04-13,423,14560,19126,24,1504,33686,10441.051420917773,4118.948579082227,19126
2024-04-14,425,14560,19169,24,1504,33729,10454.379367575122,4105.620632424878,19169
2024-04-15,425,14560,19237,24,1504,33797,10475.456120428604,4084.5438795713962,19237
2024-04-16,429,14560,19283,24,1504,33843,10489.71392382949,4070.2860761705106,19283
2024-04-17,429,14560,19339,24,1504,33899,10507.071249708828,4052.928750291172,19339
2024-04-18,433,14685,19285,24,1504,33970,10529.077859305846,4155.922140694154,19285
2024-04-19,434,14685,19327,24,1504,34012,10542.095853715351,4142.904146284649,19327
2024-04-20,437,14685,19364,24,1504,34049,10553.564086885628,4131.435913114372,19364
2024-04-21,438,14685,19412,24,1504,34097,10568.441794782204,4116.558205217796,19412
2024-04-22,438,14685,19466,24,1504,34151,10585.17921616585,4099.82078383415,19466
2024-04-23,442,14778,19405,24,1504,34183,10595.097688096901,4182.902311903099,19405
2024-04-24,442,14778,19484,24,1505,34262,10619.583915676683,4158.416084323317,19484
2024-04-25,442,14778,19527,24,1505,34305,10632.911862334031,4145.088137665969,19527
2024-04-26,446,14778,19578,24,1505,34356,10648.719426974143,4129.280573025857,19578
2024-04-27,447,14778,19610,24,1505,34388,10658.637898905194,4119.362101094806,19610
2024-04-28,447,14873,19581,24,1505,34454,10679.094747262987,4193.905252737013,19581
